,base_model,predicted_model,expected_f1_score,expected_precision,expected_recall,SEMANTIC_SIMILARITY,comparit_precision,comparit_recall,comparit_f1_score,SEMANTIC_SIMILARITY_ERROR,COMPARIT_ERROR
37,evaluate_travis/future-benchmark,evaluate_travis/future-benchmark/base_model/mutant_5,0.11267605637147392,0.1818181818,0.0816326531,0.9997017121426162,0.1590909,0.071428575,0.09859156,0.88703,0.014
38,evaluate_travis/future-benchmark,evaluate_travis/future-benchmark/base_model/mutant_6,0.9948717949,1.0,0.9897959184,0.9999999820767116,0.9896907,0.97959185,0.9846154,0.00513,0.01
39,evaluate_travis/future-benchmark,evaluate_travis/future-benchmark/base_model/mutant_7,0.9948717949,1.0,0.9897959184,0.9999999820767116,0.9896907,0.97959185,0.9846154,0.00513,0.01
40,evaluate_travis/tracee_binding_servlet,evaluate_travis/tracee_binding_servlet/base_model/mutant_4,0.666666666688,0.8333333333,0.5555555556,0.8521714517925145,0.8333333,0.5555556,0.66666675,0.1855,0.0
41,evaluate_travis/tracee_binding_servlet,evaluate_travis/tracee_binding_servlet/base_model/mutant_8,0.7096774193635796,0.8461538462,0.6111111111,0.8467927771724609,0.84615386,0.6111111,0.70967746,0.13712,0.0
42,evaluate_travis/tracee_binding_servlet,evaluate_travis/tracee_binding_servlet/base_model/mutant_3,0.30769230767,0.5,0.2222222222,0.6460862534465042,0.5,0.22222222,0.30769232,0.33839,0.0
43,evaluate_travis/tracee_binding_servlet,evaluate_travis/tracee_binding_servlet/base_model/mutant_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
44,evaluate_travis/tracee_binding_servlet,evaluate_travis/tracee_binding_servlet/base_model/mutant_10,0.875,1.0,0.7777777778,0.9850469174749628,1.0,0.7777778,0.875,0.11005,0.0
45,evaluate_travis/tracee_binding_servlet,evaluate_travis/tracee_binding_servlet/base_model/mutant_2,0.0,0.0,0.0,0.23665072108284568,0.0,0.0,0.0,0.23665,0.0
46,evaluate_travis/tracee_binding_servlet,evaluate_travis/tracee_binding_servlet/base_model/mutant_9,0.7500000000046875,0.8571428571,0.6666666667,0.9450593762996178,0.85714287,0.6666667,0.75,0.19506,0.0
47,evaluate_travis/tracee_binding_servlet,evaluate_travis/tracee_binding_servlet/base_model/mutant_5,0.3703703704,0.5555555556,0.2777777778,0.753215682793117,0.5555556,0.2777778,0.3703704,0.38285,0.0
48,evaluate_travis/tracee_binding_servlet,evaluate_travis/tracee_binding_servlet/base_model/mutant_6,0.7096774193635796,0.8461538462,0.6111111111,0.9222771238996857,0.84615386,0.6111111,0.70967746,0.2126,0.0
49,evaluate_travis/tracee_binding_servlet,evaluate_travis/tracee_binding_servlet/base_model/mutant_7,0.9714285714,1.0,0.9444444444,0.9947918964547152,1.0,0.9444444,0.9714286,0.02336,0.0
50,evaluate_travis/gi,evaluate_travis/gi/base_model/mutant_4,0.4808510638277048,0.6208791209,0.3923611111,0.901178231026,0.6208791,0.3923611,0.48085105,0.42033,0.0
51,evaluate_travis/gi,evaluate_travis/gi/base_model/mutant_8,0.56198347105195,0.693877551,0.4722222222,0.9072328301191642,0.6938776,0.4722222,0.56198347,0.34525,0.0
52,evaluate_travis/gi,evaluate_travis/gi/base_model/mutant_3,0.2528735632071439,0.3741496599,0.1909722222,0.9137015095765745,0.37414965,0.19097222,0.25287357,0.66083,0.0
53,evaluate_travis/gi,evaluate_travis/gi/base_model/mutant_1,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,0.0,0.0
54,evaluate_travis/gi,evaluate_travis/gi/base_model/mutant_10,0.9021739130336484,0.9431818182,0.8645833333,0.9997820437495065,0.9431818,0.8645833,0.9021739,0.09761,0.0
55,evaluate_travis/gi,evaluate_travis/gi/base_model/mutant_2,0.0,0.0,0.0,0.23584147337549946,0.0,0.0,0.0,0.23584,0.0
56,evaluate_travis/gi,evaluate_travis/gi/base_model/mutant_9,0.8502772643230022,0.9090909091,0.7986111111,0.9992046493431118,0.90909094,0.7986111,0.8502773,0.14893,0.0
57,evaluate_travis/gi,evaluate_travis/gi/base_model/mutant_5,0.3474387527592512,0.4844720497,0.2708333333,0.9101138329873126,0.48447204,0.27083334,0.34743872,0.56268,0.0
58,evaluate_travis/gi,evaluate_travis/gi/base_model/mutant_6,0.785578747623609,0.8661087866,0.71875,0.9990413248836484,0.8661088,0.71875,0.7855787,0.21346,0.0
59,evaluate_travis/gi,evaluate_travis/gi/base_model/mutant_7,0.9430604982400096,0.9671532847,0.9201388889,0.9994250107437961,0.9671533,0.9201389,0.9430606,0.05636,0.0
60,evaluate_travis/parallec,evaluate_travis/parallec/base_model/mutant_4,0.548837209303277,0.6815181518,0.4593993326,0.9236356698677642,0.6821192,0.45982143,0.54933333,0.3748,0.0
61,evaluate_travis/parallec,evaluate_travis/parallec/base_model/mutant_8,0.6178756476355207,0.7395348837,0.5305895439,0.905848559643447,0.7398754,0.5301339,0.61768526,0.28797,0.0
62,evaluate_travis/parallec,evaluate_travis/parallec/base_model/mutant_3,0.21444527174886055,0.3243243243,0.1601779755,0.9322631208101432,0.32352942,0.15959822,0.21375187,0.71782,0.001
63,evaluate_travis/parallec,evaluate_travis/parallec/base_model/mutant_1,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.0,0.0
64,evaluate_travis/parallec,evaluate_travis/parallec/base_model/mutant_10,0.8886297375833404,0.9338235294,0.8476084538,0.9999205375568601,0.9335793,0.84709823,0.8882388,0.11129,0.0
65,evaluate_travis/parallec,evaluate_travis/parallec/base_model/mutant_2,0.0,0.0,0.0,0.22077122012044315,0.0,0.0,0.0,0.22077,0.0
66,evaluate_travis/parallec,evaluate_travis/parallec/base_model/mutant_9,0.7701711491359209,0.854816825,0.7007786429,0.9995184049721187,0.85422343,0.69977677,0.76932514,0.22935,0.001
67,evaluate_travis/parallec,evaluate_travis/parallec/base_model/mutant_5,0.30101302461249346,0.4306418219,0.2313681869,0.9059184059578695,0.42916667,0.22991072,0.2994186,0.60491,0.002
68,evaluate_travis/parallec,evaluate_travis/parallec/base_model/mutant_6,0.7088290544643467,0.8108882521,0.6295884316,0.9986532328616238,0.8103448,0.62946427,0.70854264,0.28982,0.0
69,evaluate_travis/parallec,evaluate_travis/parallec/base_model/mutant_7,0.9494030699701066,0.9709302326,0.9288097887,0.998812868896918,0.97086245,0.9296875,0.949829,0.04941,0.0
70,evaluate_travis/tracee_api,evaluate_travis/tracee_api/base_model/mutant_4,0.42424242420661157,0.5833333333,0.3333333333,0.8122914989315494,0.5833333,0.33333334,0.42424244,0.38805,0.0
71,evaluate_travis/tracee_api,evaluate_travis/tracee_api/base_model/mutant_8,0.447761194,0.6,0.3571428571,0.8149644979647408,0.6,0.35714287,0.4477612,0.3672,0.0
72,evaluate_travis/tracee_api,evaluate_travis/tracee_api/base_model/mutant_3,0.34375,0.5,0.2619047619,0.8527738577194431,0.5,0.26190478,0.34375,0.50902,0.0
73,evaluate_travis/tracee_api,evaluate_travis/tracee_api/base_model/mutant_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
74,evaluate_travis/tracee_api,evaluate_travis/tracee_api/base_model/mutant_10,0.925000000014375,0.9736842105,0.880952381,0.9996701762189614,0.9736842,0.88095236,0.92499995,0.07467,0.0
75,evaluate_travis/tracee_api,evaluate_travis/tracee_api/base_model/mutant_2,0.0,0.0,0.0,0.28773567621495205,0.0,0.0,0.0,0.28774,0.0
76,evaluate_travis/tracee_api,evaluate_travis/tracee_api/base_model/mutant_9,0.9512195122101,0.975,0.9285714286,0.9996540065032226,0.975,0.9285714,0.9512195,0.04843,0.0
77,evaluate_travis/tracee_api,evaluate_travis/tracee_api/base_model/mutant_5,0.3692307692101302,0.5217391304,0.2857142857,0.8553540268424871,0.5217391,0.2857143,0.36923078,0.48612,0.0
78,evaluate_travis/tracee_api,evaluate_travis/tracee_api/base_model/mutant_6,0.9382716049777777,0.9743589744,0.9047619048,0.9996548972971915,0.974359,0.9047619,0.93827164,0.06138,0.0
79,evaluate_travis/tracee_api,evaluate_travis/tracee_api/base_model/mutant_7,0.9879518072,1.0,0.9761904762,0.9999942759948734,1.0,0.97619045,0.9879518,0.01204,0.0
80,evaluate_travis/tracee_binding_httpclient,evaluate_travis/tracee_binding_httpclient/base_model/mutant_4,0.315789473675,0.4615384615,0.24,0.9934551766090041,0.46153846,0.24,0.31578946,0.67767,0.0
81,evaluate_travis/tracee_binding_httpclient,evaluate_travis/tracee_binding_httpclient/base_model/mutant_8,0.358974359,0.5,0.28,0.9817334554310742,0.5,0.28,0.35897437,0.62276,0.0
82,evaluate_travis/tracee_binding_httpclient,evaluate_travis/tracee_binding_httpclient/base_model/mutant_3,0.1142857143,0.2,0.08,0.9978140364972121,0.2,0.08,0.11428572,0.88353,0.0
83,evaluate_travis/tracee_binding_httpclient,evaluate_travis/tracee_binding_httpclient/base_model/mutant_1,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,0.0,0.0
84,evaluate_travis/tracee_binding_httpclient,evaluate_travis/tracee_binding_httpclient/base_model/mutant_10,0.8888888889,1.0,0.8,0.9993109965086943,1.0,0.8,0.88888896,0.11042,0.0
85,evaluate_travis/tracee_binding_httpclient,evaluate_travis/tracee_binding_httpclient/base_model/mutant_2,0.0,0.0,0.0,0.16822484208847338,0.0,0.0,0.0,0.16822,0.0
86,evaluate_travis/tracee_binding_httpclient,evaluate_travis/tracee_binding_httpclient/base_model/mutant_9,0.893617021257,0.9545454545,0.84,0.9995663323111079,0.95454544,0.84,0.893617,0.10595,0.0
87,evaluate_travis/tracee_binding_httpclient,evaluate_travis/tracee_binding_httpclient/base_model/mutant_5,0.166666666662,0.2727272727,0.12,0.9981225537015668,0.27272728,0.12,0.16666666,0.83146,0.0
88,evaluate_travis/tracee_binding_httpclient,evaluate_travis/tracee_binding_httpclient/base_model/mutant_6,0.8695652174,0.9523809524,0.8,0.9993289453880257,0.95238096,0.8,0.86956525,0.12976,0.0
89,evaluate_travis/tracee_binding_httpclient,evaluate_travis/tracee_binding_httpclient/base_model/mutant_7,0.9795918367,1.0,0.96,0.9998591375773171,1.0,0.96,0.9795918,0.02027,0.0
90,evaluate_travis/tracee_testhelper,evaluate_travis/tracee_testhelper/base_model/mutant_4,0.45161290325327785,0.6086956522,0.358974359,0.9113784625700319,0.6086956,0.35897437,0.45161292,0.45977,0.0
91,evaluate_travis/tracee_testhelper,evaluate_travis/tracee_testhelper/base_model/mutant_8,0.4761904761787,0.625,0.3846153846,0.9134077733889954,0.625,0.3846154,0.47619048,0.43722,0.0
92,evaluate_travis/tracee_testhelper,evaluate_travis/tracee_testhelper/base_model/mutant_3,0.2758620689445303,0.4210526316,0.2051282051,0.9023904604834122,0.42105263,0.20512821,0.2758621,0.62653,0.0
93,evaluate_travis/tracee_testhelper,evaluate_travis/tracee_testhelper/base_model/mutant_1,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.0,0.0
94,evaluate_travis/tracee_testhelper,evaluate_travis/tracee_testhelper/base_model/mutant_10,0.9041095890699944,0.9705882353,0.8461538462,0.9994041404264583,0.9705882,0.84615386,0.9041096,0.09529,0.0
95,evaluate_travis/tracee_testhelper,evaluate_travis/tracee_testhelper/base_model/mutant_2,0.0,0.0,0.0,0.2273685441629657,0.0,0.0,0.0,0.22737,0.0
96,evaluate_travis/tracee_testhelper,evaluate_travis/tracee_testhelper/base_model/mutant_9,0.8918918919367056,0.9428571429,0.8461538462,0.9997641210662523,0.94285715,0.84615386,0.8918919,0.10787,0.0
97,evaluate_travis/tracee_testhelper,evaluate_travis/tracee_testhelper/base_model/mutant_5,0.30508474579,0.45,0.2307692308,0.9069121348572775,0.45,0.23076923,0.30508476,0.60183,0.0
98,evaluate_travis/tracee_testhelper,evaluate_travis/tracee_testhelper/base_model/mutant_6,0.876712328764909,0.9411764706,0.8205128205,0.9995970069613641,0.9411765,0.82051283,0.8767123,0.12288,0.0
99,evaluate_travis/tracee_testhelper,evaluate_travis/tracee_testhelper/base_model/mutant_7,0.987012987,1.0,0.9743589744,0.9999293285716779,1.0,0.974359,0.987013,0.01292,0.0
100,evaluate_travis/tracee_binding_springhttpclient,evaluate_travis/tracee_binding_springhttpclient/base_model/mutant_4,0.699999999976,0.875,0.5833333333,0.8147000158238565,0.875,0.5833333,0.7,0.1147,0.0
101,evaluate_travis/tracee_binding_springhttpclient,evaluate_travis/tracee_binding_springhttpclient/base_model/mutant_8,0.8181818182,0.9,0.75,0.9633437253301014,0.9,0.75,0.81818175,0.14516,0.0
102,evaluate_travis/tracee_binding_springhttpclient,evaluate_travis/tracee_binding_springhttpclient/base_model/mutant_3,0.4444444444222222,0.6666666667,0.3333333333,0.7115073836424743,0.6666667,0.33333334,0.44444448,0.26706,0.0
103,evaluate_travis/tracee_binding_springhttpclient,evaluate_travis/tracee_binding_springhttpclient/base_model/mutant_1,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,0.0,0.0
104,evaluate_travis/tracee_binding_springhttpclient,evaluate_travis/tracee_binding_springhttpclient/base_model/mutant_10,0.8571428571,1.0,0.75,0.879609559440278,1.0,0.75,0.85714287,0.02247,0.0
105,evaluate_travis/tracee_binding_springhttpclient,evaluate_travis/tracee_binding_springhttpclient/base_model/mutant_2,0.0,0.0,0.0,0.5101229434474923,0.0,0.0,0.0,0.51012,0.0
106,evaluate_travis/tracee_binding_springhttpclient,evaluate_travis/tracee_binding_springhttpclient/base_model/mutant_9,0.8181818182,0.9,0.75,0.9806224368570473,0.9,0.75,0.81818175,0.16244,0.0
107,evaluate_travis/tracee_binding_springhttpclient,evaluate_travis/tracee_binding_springhttpclient/base_model/mutant_5,0.6,0.75,0.5,0.9190945348177477,0.75,0.5,0.6,0.31909,0.0
108,evaluate_travis/tracee_binding_springhttpclient,evaluate_travis/tracee_binding_springhttpclient/base_model/mutant_6,0.699999999976,0.875,0.5833333333,0.8614899524172622,0.875,0.5833333,0.7,0.16149,0.0
109,evaluate_travis/tracee_binding_springhttpclient,evaluate_travis/tracee_binding_springhttpclient/base_model/mutant_7,0.9090909091,1.0,0.8333333333,0.9161820308091364,1.0,0.8333333,0.90909094,0.00709,0.0
110,evaluate_travis/solr-4.x-1,evaluate_travis/solr-4.x-1/base_model/mutant_4,0.6666666667,1.0,0.5,0.8656816356516951,1.0,0.5,0.6666667,0.19901,0.0
111,evaluate_travis/solr-4.x-1,evaluate_travis/solr-4.x-1/base_model/mutant_8,0.8571428571,1.0,0.75,0.9286431895708515,1.0,0.75,0.85714287,0.0715,0.0
112,evaluate_travis/solr-4.x-1,evaluate_travis/solr-4.x-1/base_model/mutant_3,0.6666666667,1.0,0.5,0.8656816356516951,1.0,0.5,0.6666667,0.19901,0.0
113,evaluate_travis/solr-4.x-1,evaluate_travis/solr-4.x-1/base_model/mutant_1,1.0,1.0,1.0,0.9999999999999997,1.0,1.0,1.0,0.0,0.0
114,evaluate_travis/solr-4.x-1,evaluate_travis/solr-4.x-1/base_model/mutant_10,0.6666666667,1.0,0.5,0.8656816356516951,1.0,0.5,0.6666667,0.19901,0.0
115,evaluate_travis/solr-4.x-1,evaluate_travis/solr-4.x-1/base_model/mutant_2,0.0,0.0,0.0,0.8138843267856839,0.0,0.0,0.0,0.81388,0.0
116,evaluate_travis/solr-4.x-1,evaluate_travis/solr-4.x-1/base_model/mutant_9,1.0,1.0,1.0,0.9999999999999997,1.0,1.0,1.0,0.0,0.0
117,evaluate_travis/solr-4.x-1,evaluate_travis/solr-4.x-1/base_model/mutant_5,0.8571428571,1.0,0.75,0.9286431895708515,1.0,0.75,0.85714287,0.0715,0.0
118,evaluate_travis/solr-4.x-1,evaluate_travis/solr-4.x-1/base_model/mutant_6,0.8571428571,1.0,0.75,0.9491705588017374,1.0,0.75,0.85714287,0.09203,0.0
119,evaluate_travis/solr-4.x-1,evaluate_travis/solr-4.x-1/base_model/mutant_7,0.8571428571,1.0,0.75,0.9491705588017374,1.0,0.75,0.85714287,0.09203,0.0
120,evaluate_travis/tracee_binding_spring,evaluate_travis/tracee_binding_spring/base_model/mutant_4,0.69767441859,0.8333333333,0.6,0.8609443825823149,0.8333333,0.6,0.6976744,0.16327,0.0
121,evaluate_travis/tracee_binding_spring,evaluate_travis/tracee_binding_spring/base_model/mutant_8,0.727272727288,0.8421052632,0.64,0.8791830567499367,0.84210527,0.64,0.7272727,0.15191,0.0
122,evaluate_travis/tracee_binding_spring,evaluate_travis/tracee_binding_spring/base_model/mutant_3,0.46153846155,0.6428571429,0.36,0.7041607529267034,0.64285713,0.36,0.46153843,0.24262,0.0
123,evaluate_travis/tracee_binding_spring,evaluate_travis/tracee_binding_spring/base_model/mutant_1,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.0,0.0
124,evaluate_travis/tracee_binding_spring,evaluate_travis/tracee_binding_spring/base_model/mutant_10,0.9130434783,1.0,0.84,0.9688354577467211,1.0,0.84,0.9130435,0.05579,0.0
125,evaluate_travis/tracee_binding_spring,evaluate_travis/tracee_binding_spring/base_model/mutant_2,0.0,0.0,0.0,0.48874431243516664,0.0,0.0,0.0,0.48874,0.0
126,evaluate_travis/tracee_binding_spring,evaluate_travis/tracee_binding_spring/base_model/mutant_9,0.826086956538,0.9047619048,0.76,0.955745816381568,0.9047619,0.76,0.82608694,0.12966,0.0
127,evaluate_travis/tracee_binding_spring,evaluate_travis/tracee_binding_spring/base_model/mutant_5,0.50000000001,0.6666666667,0.4,0.73219950691404,0.6666667,0.4,0.5,0.2322,0.0
128,evaluate_travis/tracee_binding_spring,evaluate_travis/tracee_binding_spring/base_model/mutant_6,0.8,0.9,0.72,0.9462210915547601,0.9,0.72,0.8,0.14622,0.0
129,evaluate_travis/tracee_binding_spring,evaluate_travis/tracee_binding_spring/base_model/mutant_7,0.9795918367,1.0,0.96,0.9974118239094469,1.0,0.96,0.9795918,0.01782,0.0
130,evaluate_travis/grammarviz2_src,evaluate_travis/grammarviz2_src/base_model/mutant_4,0.6192893401252625,0.7408906883,0.5319767442,0.9073151413082742,0.7408907,0.53197676,0.6192894,0.28803,0.0
131,evaluate_travis/grammarviz2_src,evaluate_travis/grammarviz2_src/base_model/mutant_8,0.701639344292115,0.8045112782,0.6220930233,0.8793021604745804,0.80451125,0.622093,0.70163935,0.17766,0.0
132,evaluate_travis/grammarviz2_src,evaluate_travis/grammarviz2_src/base_model/mutant_3,0.22868217053333334,0.3430232558,0.1715116279,0.918189478611495,0.34302327,0.17151164,0.22868219,0.68951,0.0
133,evaluate_travis/grammarviz2_src,evaluate_travis/grammarviz2_src/base_model/mutant_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
134,evaluate_travis/grammarviz2_src,evaluate_travis/grammarviz2_src/base_model/mutant_10,0.8773006134889684,0.9285714286,0.8313953488,0.9993626148529507,0.9285714,0.8313953,0.87730056,0.12206,0.0
135,evaluate_travis/grammarviz2_src,evaluate_travis/grammarviz2_src/base_model/mutant_2,0.0,0.0,0.0,0.20240422511474768,0.0,0.0,0.0,0.2024,0.0
136,evaluate_travis/grammarviz2_src,evaluate_travis/grammarviz2_src/base_model/mutant_9,0.7177814029343634,0.8178438662,0.6395348837,0.992441866454519,0.81784385,0.6395349,0.7177814,0.27466,0.0
137,evaluate_travis/grammarviz2_src,evaluate_travis/grammarviz2_src/base_model/mutant_5,0.3364485981547419,0.4712041885,0.261627907,0.9139363681214882,0.4712042,0.2616279,0.3364486,0.57749,0.0
138,evaluate_travis/grammarviz2_src,evaluate_travis/grammarviz2_src/base_model/mutant_6,0.6363636363964,0.756,0.5494186047,0.9753879379657,0.756,0.5494186,0.6363637,0.33902,0.0
139,evaluate_travis/grammarviz2_src,evaluate_travis/grammarviz2_src/base_model/mutant_7,0.9357249626256975,0.9630769231,0.9098837209,0.9940722197910928,0.96307695,0.90988374,0.935725,0.05835,0.0
140,evaluate_travis/future,evaluate_travis/future/base_model/mutant_4,0.21065088762127546,0.3189964158,0.1572438163,0.9978989016265747,0.31899643,0.15724382,0.2106509,0.78725,0.0
141,evaluate_travis/future,evaluate_travis/future/base_model/mutant_8,0.23474178402254953,0.3496503497,0.1766784452,0.9977562892122243,0.34965035,0.17667845,0.23474178,0.76301,0.0
142,evaluate_travis/future,evaluate_travis/future/base_model/mutant_3,0.13818181820427078,0.2200772201,0.1007067138,0.9978819902088568,0.22007722,0.10070671,0.13818182,0.8597,0.0
